-0.00499,-0.00966
0.00047,0.00408
-0.00167,-0.00388
0.05054,-0.16808
-0.01916,-0.03984
0.03194,0.06213
-0.59053,-2.19957
0.09031,0.12471
0.01103,0.02148
0.00609,0.01169
-0.00437,-0.01333
0.01022,0.01886
-0.02605,-0.04865
0.04400,0.08532
0.00691,0.00505
0.00179,0.00373
-0.00378,0.00260
-0.08752,-0.11444
0.01844,0.08341
1.20100,-1.25291
-0.00478,-0.00965
-0.01829,-0.03370
0.16126,0.09372
0.00213,0.00445
-0.00469,-0.00919
-0.00211,-0.00382
0.00871,0.01671
-0.02140,-0.04106
0.00014,-0.00005
-0.02315,-0.04203
-0.01544,-0.03346
1.06456,2.18277
